Overriding config with config/train_shakespeare_char.py:

out_dir = 'out-shakespeare-char'
eval_interval = 500
log_interval = 20
eval_iters = 50
always_save_checkpoint = True

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 128

n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2

learning_rate = 1e-3
max_iters = 3000
lr_decay_iters = 3000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 50

device = 'cuda' if __import__('torch').cuda.is_available() else 'cpu'
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 811,136 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 2160: loss 1.8500, time 27.81ms, mfu 0.33%
iter 2180: loss 1.8238, time 25.75ms, mfu 0.32%
iter 2200: loss 1.8487, time 17.32ms, mfu 0.33%
iter 2220: loss 1.8048, time 19.74ms, mfu 0.34%
iter 2240: loss 1.7702, time 20.40ms, mfu 0.34%
iter 2260: loss 1.8261, time 18.63ms, mfu 0.34%
iter 2280: loss 1.8500, time 18.19ms, mfu 0.35%
iter 2300: loss 1.7959, time 17.96ms, mfu 0.35%
iter 2320: loss 1.8123, time 20.91ms, mfu 0.35%
iter 2340: loss 1.7921, time 17.44ms, mfu 0.36%
iter 2360: loss 1.7552, time 21.10ms, mfu 0.36%
iter 2380: loss 1.7964, time 19.78ms, mfu 0.36%
iter 2400: loss 1.8039, time 17.73ms, mfu 0.37%
iter 2420: loss 1.7760, time 21.83ms, mfu 0.36%
iter 2440: loss 1.7735, time 20.76ms, mfu 0.36%
iter 2460: loss 1.8000, time 17.25ms, mfu 0.37%
iter 2480: loss 1.8319, time 17.24ms, mfu 0.37%
step 2500: train loss 1.6587, val loss 1.8403
saving checkpoint to out-shakespeare-char
iter 2500: loss 1.7479, time 1161.57ms, mfu 0.34%
iter 2520: loss 1.8247, time 19.71ms, mfu 0.34%
iter 2540: loss 1.7593, time 18.35ms, mfu 0.35%
iter 2560: loss 1.8027, time 18.71ms, mfu 0.35%
iter 2580: loss 1.7963, time 20.30ms, mfu 0.35%
iter 2600: loss 1.7715, time 18.06ms, mfu 0.36%
iter 2620: loss 1.7519, time 25.91ms, mfu 0.35%
iter 2640: loss 1.8457, time 20.98ms, mfu 0.35%
iter 2660: loss 1.7658, time 19.60ms, mfu 0.35%
iter 2680: loss 1.7868, time 20.59ms, mfu 0.35%
iter 2700: loss 1.7798, time 20.09ms, mfu 0.35%
iter 2720: loss 1.8098, time 19.51ms, mfu 0.35%
iter 2740: loss 1.7761, time 25.61ms, mfu 0.35%
iter 2760: loss 1.8143, time 26.74ms, mfu 0.34%
iter 2780: loss 1.8543, time 18.84ms, mfu 0.35%
iter 2800: loss 1.8264, time 21.35ms, mfu 0.34%
iter 2820: loss 1.7805, time 19.76ms, mfu 0.35%
iter 2840: loss 1.7444, time 21.04ms, mfu 0.35%
iter 2860: loss 1.7266, time 19.77ms, mfu 0.35%
iter 2880: loss 1.8226, time 17.80ms, mfu 0.36%
iter 2900: loss 1.7264, time 20.25ms, mfu 0.36%
iter 2920: loss 1.7564, time 20.95ms, mfu 0.36%
iter 2940: loss 1.7750, time 20.65ms, mfu 0.36%
iter 2960: loss 1.8017, time 20.15ms, mfu 0.36%
iter 2980: loss 1.8071, time 18.70ms, mfu 0.36%
step 3000: train loss 1.6375, val loss 1.8115
saving checkpoint to out-shakespeare-char
iter 3000: loss 1.7423, time 1173.28ms, mfu 0.32%
